@relation 'converted_data'

@attribute 'count' string
@attribute 'keyword' string

@data
{0 '32',1 'bathing suit'}
{0 '32',1 'Leggings'}
{0 '31',1 'elastic waist'}
{0 '30',1 'short sleeve dress'}
{0 '30',1 'Rompers'}
{0 '29',1 'loose t-shirt'}
{0 '29',1 'graphic tee'}
{0 '29',1 'casual dresses'}
{0 '29',1 'button'}
{0 '29',1 'bikini set'}
{0 '29',1 'Women S Clothing'}
{0 '29',1 'Party Dresses'}
{0 '29',1 'Outfits'}
{0 '29',1 'Elegant'}
{0 '28',1 'Bottom'}
{0 '27',1 'women dresses'}
{0 '27',1 'tops for women'}
{0 '27',1 'Running'}
{0 '27',1 'Long pants'}
{0 '27',1 'Jumpsuits & Rompers'}
{0 '27',1 'Clothes'}
{0 '26',1 'women t shirt'}
{0 '26',1 't'}
{0 '26',1 'halter dress'}
{0 '26',1 'camouflage'}
{0 '26',1 'Long Sleeve'}
{0 '26',1 'Denim'}
{0 '26',1 'Clothing'}
{0 '25',1 'Striped'}
{0 '25',1 'Sleeveless Shirt'}
{0 '25',1 'Outdoor'}
{0 '25',1 'Evening Dress'}
{0 '24',1 'white'}
{0 '24',1 'strapless'}
{0 '24',1 'slim dress'}
{0 '24',1 'Pullovers'}
{0 '23',1 'short sleeve shirt'}
{0 '23',1 'print dress'}
{0 '23',1 'onepiece'}
{0 '22',1 'fashion women'}
{0 '22',1 'Wool'}
{0 '22',1 'Women Blouse'}
{0 '22',1 'Tie Dye'}
{0 '22',1 'Midi Dress'}
{0 '22',1 'Holiday'}
{0 '22',1 'Casual Tops'}
{0 '21',1 'womens dresses'}
{0 '21',1 'sundress'}
{0 '21',1 'summerpant'}
{0 '21',1 'splits'}
{0 '21',1 'padded'}
{0 '21',1 'butterfly'}
{0 '21',1 'Women Clothing'}
{0 '21',1 'Robes'}
{0 '21',1 'Dyes'}
{0 '21',1 'Beach Shorts'}
{0 '20',1 'fashion dress'}
{0 '20',1 'Stripes'}
{0 '20',1 'Denim Shorts'}
{0 '20',1 'Cross'}
{0 '19',1 'topsampblouse'}
{0 '19',1 'neck dress'}
{0 '19',1 'harem pants'}
{0 '19',1 'dressesforwomen'}
{0 '19',1 'casual shirt'}
{0 '19',1 'Push up bikini'}
{0 '18',1 'women tank top'}
{0 '18',1 'strap'}
{0 '18',1 'sexy lace'}
{0 '18',1 'sexy bikini'}
{0 '18',1 'ruffle'}
{0 '18',1 'Women Rompers'}
{0 '18',1 'Panties'}
{0 '18',1 'Bikinis Set'}
{0 '17',1 'zippers'}
{0 '17',1 'women shirt'}
{0 '17',1 'vestido'}
{0 '17',1 'bohemia'}
{0 '16',1 'yogashort'}
{0 '16',1 'shortsforwomen'}
{0 '16',1 'o-neck'}
{0 '16',1 'men\'s shorts'}
{0 '16',1 'Women Pants'}
{0 '16',1 'Short Sleeve T-Shirt'}
{0 '16',1 'Sandals'}
{0 '16',1 'Printed T Shirts'}
{0 '16',1 'Plus size top'}
{0 '15',1 'womens top'}
{0 '15',1 'summer tank top'}
{0 '15',1 'summer shirt'}
{0 '15',1 'retro'}
{0 '15',1 'Slippers'}
{0 '15',1 'Maxi Dresses'}
{0 '14',1 't-shirt dress'}
{0 '14',1 'knee'}
{0 '14',1 'bohemian'}
{0 '14',1 'beachpant'}
{0 '14',1 'backless dress'}
{0 '14',1 'Two piece set'}
{0 '14',1 'Two Pieces'}
{0 '14',1 'Tunic dress'}
{0 '14',1 'Sport Suits'}
{0 '14',1 'Sexy Top'}
{0 '14',1 'Green'}
{0 '14',1 'Cotton Shirt'}
{0 '13',1 'widelegpant'}
{0 '13',1 'tunic top'}
{0 '13',1 'summerjumpsuit'}
{0 '13',1 'skull'}
{0 '13',1 'rompers womens jumpsuit'}
{0 '13',1 'robefemme'}
{0 '13',1 'lace top'}
{0 '13',1 'high waisted shorts'}
{0 '13',1 'casualshort'}
{0 '13',1 'bodycon'}
{0 '13',1 'V Neckdress'}
{0 '13',1 'Bodycon Dress'}
{0 '13',1 'Athletics'}
{0 '12',1 'women\'s dress'}
{0 '12',1 'women trousers'}
{0 '12',1 'women beachwear'}
{0 '12',1 'sleeve v-neck'}
{0 '12',1 'playsuit'}
{0 '12',1 'jumpsuitsampromper'}
{0 '12',1 'blousesampshirt'}
{0 '12',1 'Swing dress'}
{0 '12',1 'Strapless Dress'}
{0 '12',1 'Shoes'}
{0 '12',1 'Men Shorts'}
{0 '12',1 'Corset'}
{0 '12',1 'Cool T-Shirts'}
{0 '12',1 'Collar'}
{0 '12',1 'Causal'}
{0 '11',1 'yoga top'}
{0 '11',1 'women swimsuit'}
{0 '11',1 'water'}
{0 '11',1 'strappy'}
{0 '11',1 'sleevelessjumpsuit'}
{0 '11',1 'sleevelessblouse'}
{0 '11',1 'skinny pants'}
{0 '11',1 'long skirt'}
{0 '11',1 'high waist shorts'}
{0 '11',1 'feather'}
{0 '11',1 'chiffon dress'}
{0 '11',1 'chiffon blouse'}
{0 '11',1 'bohemian dress'}
{0 '11',1 'beach swimwear'}
{0 '11',1 'Women Skirts'}
{0 '11',1 'Underwear'}
{0 '11',1 'Tops & Tees'}
{0 '11',1 'T-Shirt womens'}
{0 '11',1 'Sports Wear'}
{0 '11',1 'Sling'}
{0 '11',1 'Sleepwear'}
{0 '11',1 'Short Sleeved'}
{0 '11',1 'Patchwork'}
{0 '11',1 'Inflatable'}
{0 '11',1 'Fashion Accessory'}
{0 '11',1 'Cocktail'}
{0 '10',1 'womens tank tops'}
{0 '10',1 'topsamptee'}
{0 '10',1 'tank top women'}
{0 '10',1 'slingdre'}
{0 '10',1 'sleeve dress'}
{0 '10',1 'silk'}
{0 '10',1 'shortsleeveset'}
{0 '10',1 'short skirt'}
{0 '10',1 'sexy jumpsuit'}
{0 '10',1 'runningshort'}
{0 '10',1 'off shoulder top'}
{0 '10',1 'men\'s suits'}
{0 '10',1 'loosepant'}
{0 '10',1 'lip'}
{0 '10',1 'clubwear'}
{0 '10',1 'belt'}
{0 '10',1 'athleticshort'}
{0 '10',1 'Yellow'}
{0 '10',1 'Vintage dress'}
{0 '10',1 'Tankinis'}
{0 '10',1 'Printing'}
{0 '10',1 'Hollow-out'}
{0 '10',1 'Design'}
{0 '10',1 'Classics'}
{0 '10',1 'Blues'}
{0 '10',1 'Army'}
{0 '9',1 'women long pants'}
{0 '9',1 'women bathing suit'}
{0 '9',1 'wasitcincher'}
{0 '9',1 'waistgirdle'}
{0 '9',1 'waist trainer'}
{0 '9',1 'suspenders'}
{0 '9',1 'sportshort'}
{0 '9',1 'slimmingcorset'}
{0 '9',1 'slimming'}
{0 '9',1 'shirt dress'}
{0 '9',1 'punk'}
{0 '9',1 'pleated dress'}
{0 '9',1 'loosejumpsuit'}
{0 '9',1 'linenjumpsuit'}
{0 '9',1 'leaf'}
{0 '9',1 'jogging'}
{0 '9',1 'hippie'}
{0 '9',1 'floralprinted'}
{0 '9',1 'Women Set'}
{0 '9',1 'Short Sleeve Blouses'}
{0 '9',1 'One Piece Swimsuits'}
{0 '9',1 'Men\'s pants'}
{0 '9',1 'Love'}
{0 '9',1 'Lines'}
{0 '9',1 'Home & Living'}
{0 '9',1 'Halter Bikini'}
{0 '9',1 'Funny T Shirt'}
{0 '9',1 'Elegant Dress'}
{0 '9',1 'Chiffon Shirt'}
{0 '9',1 'Cartoons'}
{0 '9',1 '2pieceset'}
{0 '8',1 'yoga pants'}
{0 '8',1 'womens vest'}
{0 '8',1 'women swimwear'}
{0 '8',1 'women crop top'}
{0 '8',1 'twopieceoutfit'}
{0 '8',1 'teesamptshirt'}
{0 '8',1 'tankvest'}
{0 '8',1 'summervest'}
{0 '8',1 'summersuitset'}
{0 '8',1 'shaperwear'}
{0 '8',1 'printeddre'}
{0 '8',1 'off shoulder dress'}
{0 '8',1 'minishirtdres'}
{0 '8',1 'mididre'}
{0 '8',1 'looseblouse'}
{0 '8',1 'kids'}
{0 '8',1 'gymshort'}
{0 '8',1 'floral lace'}
{0 '8',1 'denimjeansdres'}
{0 '8',1 'bandage bikini'}
{0 '8',1 'asymmetric'}
{0 '8',1 'Women\'s Jumpsuits'}
{0 '8',1 'V-neck Dresses'}
{0 '8',1 'Toy'}
{0 '8',1 'Tee'}
{0 '8',1 'Tassels'}
{0 '8',1 'Sunflowers'}
{0 '8',1 'Round Collar'}
{0 '8',1 'Loose tank tops'}
{0 '8',1 'Hot pants'}
{0 '8',1 'Breathable'}
{0 '7',1 'womensfahsion'}
{0 '7',1 'womens clothes'}
{0 '7',1 'womemstop'}
{0 '7',1 'white dress'}
{0 '7',1 'vesttop'}
{0 '7',1 'tiedyeprint'}
{0 '7',1 'swimsuits for women'}
{0 '7',1 'sweat suit'}
{0 '7',1 'strappant'}
{0 '7',1 'sportsset'}
{0 '7',1 'splitbikiniset'}
{0 '7',1 'spaghettistrapdresse'}
{0 '7',1 'skinnyshort'}
{0 '7',1 'sexy bathing suit'}
{0 '7',1 'plussizejumpsuit'}
{0 '7',1 'minidressforwomen'}
{0 '7',1 'mini skirt'}
{0 '7',1 'loose top'}
{0 '7',1 'loose shirt'}
{0 '7',1 'linen dress'}
{0 '7',1 'kimono'}
{0 '7',1 'jean shorts'}
{0 '7',1 'high waist bikini'}
{0 '7',1 'floralprinteddre'}
{0 '7',1 'dress slim'}
{0 '7',1 'drawstring'}
{0 '7',1 'crochet'}
{0 '7',1 'bubble'}
{0 '7',1 'Womens shorts'}
{0 '7',1 'Womens Blouse'}
{0 '7',1 'Tee Shirt'}
{0 '7',1 'Socks'}
{0 '7',1 'Mens T Shirt'}
{0 '7',1 'Jewelry'}
{0 '7',1 'Gifts'}
{0 '7',1 'Fun'}
{0 '7',1 'Cover'}
{0 '7',1 'Cotton Vest'}
{0 '7',1 'Colorful'}
{0 '7',1 'Coat'}
{0 '7',1 'Blouses & Shirts'}
{0 '7',1 'Bikini swimwear'}
{0 '7',1 'Balloon'}
{0 '7',1 'Bags'}
{0 '7',1 '#top #crop'}
{0 '6',1 'women\'s pants'}
{0 '6',1 'women clothes'}
{0 '6',1 'wavepoint'}
{0 '6',1 'two piece swimsuit'}
{0 '6',1 'summerdressesforwomen'}
{0 '6',1 'solid'}
{0 '6',1 'silksleepwear'}
{0 '6',1 'sexyblouse'}
{0 '6',1 'sexy shirts'}
{0 '6',1 'sailboatshort'}
{0 '6',1 'push up swimwear'}
{0 '6',1 'printeddres'}
{0 '6',1 'printed shirts'}
{0 '6',1 'print t-shirt'}
{0 '6',1 'open toe'}
{0 '6',1 'mensjoggersuit'}
{0 '6',1 'ladies dress'}
{0 '6',1 'lace trim'}
{0 '6',1 'high waisted'}
{0 '6',1 'gymwear'}
{0 '6',1 'floralprinteddres'}
{0 '6',1 'fashion vest'}
{0 '6',1 'fashion pants'}
{0 '6',1 'european'}
{0 '6',1 'drawstringshort'}
{0 '6',1 'capripant'}
{0 '6',1 'bubbleball'}
{0 '6',1 'bras for women'}
{0 '6',1 'bibpant'}
{0 '6',1 'beachwear for women'}
{0 '6',1 'Womens T Shirts'}
{0 '6',1 'Womens Shoes'}
{0 '6',1 'Vacation'}
{0 '6',1 'Tanktops for women'}
{0 '6',1 'Tankini Set'}
{0 '6',1 'Swing'}
{0 '6',1 'Sports & Outdoors'}
{0 '6',1 'Shift Dress'}
{0 '6',1 'Rose'}
{0 '6',1 'Pajamas'}
{0 '6',1 'Harajuku'}
{0 '6',1 'Graphic Shirt'}
{0 '6',1 'Fashion Accessories'}
{0 '6',1 'Deep V-neck Dress'}
{0 '6',1 'Cats'}
{0 '6',1 'Cami Tank Tops'}
{0 '6',1 'Bow'}
{0 '6',1 'Bottoming shirt'}
{0 '6',1 'Beauty'}
{0 '6',1 'Beach Shorts Women'}
{0 '5',1 'yoga leggings'}
{0 '5',1 'wrappedchest'}
{0 '5',1 'womens shirt'}
{0 '5',1 'women\'s pajamas'}
{0 '5',1 'women summer tops'}
{0 '5',1 'women fashion shorts'}
{0 '5',1 'vneckshirt'}
{0 '5',1 'vest dress'}
{0 '5',1 'twopiecesset'}
{0 '5',1 'tunicsforwomen'}
{0 '5',1 'trousersforwomen'}
{0 '5',1 'tracksuitsforwomen'}
{0 '5',1 'teeshirthomme'}
{0 '5',1 'tanktopforwomen'}
{0 '5',1 'sundressesforwomen'}
{0 '5',1 'summerwear'}
{0 '5',1 'spaghettistrapdre'}
{0 '5',1 'slingvest'}
{0 '5',1 'sleevelesstshirt'}
{0 '5',1 'sleevele'}
{0 '5',1 'silksleepwearnightgown'}
{0 '5',1 'silksleepwearforwomen'}
{0 '5',1 'shortjumpsuit'}
{0 '5',1 'sexydressesforwoman'}
{0 '5',1 'sexy tank top'}
{0 '5',1 'sexy pajamas for womens'}
{0 '5',1 'sexy dresses'}
{0 '5',1 'scarf'}
{0 '5',1 'runningset'}
{0 '5',1 'runningpant'}
{0 '5',1 'ruffled'}
{0 '5',1 'printedvest'}
{0 '5',1 'pool'}
{0 '5',1 'plaid'}
{0 '5',1 'partydressesforwomen'}
{0 '5',1 'pajamassuit'}
{0 '5',1 'pajamassleepwear'}
{0 '5',1 'pajamasforwomen'}
{0 '5',1 'pajamaset'}
{0 '5',1 'monokini'}
{0 '5',1 'momshirt'}
{0 '5',1 'lace shirts'}
{0 '5',1 'kleid'}
{0 '5',1 'irregulardre'}
{0 '5',1 'gowns'}
{0 '5',1 'gothic'}
{0 '5',1 'fitnessvest'}
{0 '5',1 'featherprint'}
{0 '5',1 'fashion top'}
{0 '5',1 'dressforwomen'}
{0 '5',1 'deep v neck top'}
{0 '5',1 'croppedtrouser'}
{0 '5',1 'cottontop'}
{0 '5',1 'casualdressesforwomen'}
{0 '5',1 'casualblouse'}
{0 '5',1 'cardigan'}
{0 '5',1 'butterflyprint'}
{0 '5',1 'blouse women'}
{0 '5',1 'bigswing'}
{0 '5',1 'beachsuit'}
{0 '5',1 'beach coverup'}
{0 '5',1 'asymmetrical dress'}
{0 '5',1 'Womens swimwear'}
{0 '5',1 'Women jeans'}
{0 '5',1 'Tube top'}
{0 '5',1 'Sprays'}
{0 '5',1 'Sports Pants'}
{0 '5',1 'Skeleton'}
{0 '5',1 'Red'}
{0 '5',1 'Pleated Skirt'}
{0 '5',1 'Lingerie'}
{0 '5',1 'Leopard'}
{0 '5',1 'Ladies Top'}
{0 '5',1 'Home & Kitchen'}
{0 '5',1 'Home'}
{0 '5',1 'Hip Hop'}
{0 '5',1 'High Waist Pants'}
{0 '5',1 'Head'}
{0 '5',1 'Flip Flops'}
{0 '5',1 'Denim pants'}
{0 '5',1 'Cover Ups'}
{0 '5',1 'Cocktail dresses'}
{0 '5',1 'Clothes for women'}
{0 '5',1 'Children'}
{0 '5',1 'Cami'}
{0 '5',1 'Body Suit'}
{0 '4',1 'womens jeans'}
{0 '4',1 'women tank'}
{0 '4',1 'woman fashion'}
{0 '4',1 'wedge'}
{0 '4',1 'wedding dress'}
{0 '4',1 'wavepointdre'}
{0 '4',1 'tee shirt women'}
{0 '4',1 'tank tops women'}
{0 '4',1 'swim suit cover up'}
{0 '4',1 'surfshort'}
{0 '4',1 'summer skirt'}
{0 '4',1 'summer shoes'}
{0 '4',1 'summer bikini'}
{0 '4',1 'striped dress'}
{0 '4',1 'street style'}
{0 '4',1 'splitdre'}
{0 '4',1 'spaghettishoulderstrapdre'}
{0 '4',1 'slingtop'}
{0 '4',1 'slingdres'}
{0 '4',1 'slimpant'}
{0 '4',1 'sleevelessdresse'}
{0 '4',1 'skullprint'}
{0 '4',1 'shortssuit'}
{0 '4',1 'short leggings'}
{0 '4',1 'sandals for women'}
{0 '4',1 'rompersforwomen'}
{0 '4',1 'push up bra'}
{0 '4',1 'pure'}
{0 '4',1 'punk style'}
{0 '4',1 'prom dress'}
{0 '4',1 'printjumpsuit'}
{0 '4',1 'print shirt'}
{0 '4',1 'princess dress'}
{0 '4',1 'polka dot dress'}
{0 '4',1 'pencil pants'}
{0 '4',1 'offshoulderjumpsuit'}
{0 '4',1 'mensjoggingsuit'}
{0 '4',1 'low'}
{0 '4',1 'looseshort'}
{0 '4',1 'long sleeve blouse'}
{0 '4',1 'long dresses'}
{0 '4',1 'letterprinted'}
{0 '4',1 'largecottonandlinenwomenstrouser'}
{0 '4',1 'lace lingerie'}
{0 '4',1 'korean style'}
{0 '4',1 'knit'}
{0 '4',1 'harem'}
{0 '4',1 'halterneck'}
{0 '4',1 'hair'}
{0 '4',1 'gaes'}
{0 '4',1 'funnytee'}
{0 '4',1 'funnyshirt'}
{0 '4',1 'flaresleeve'}
{0 '4',1 'fitness leggings'}
{0 '4',1 'fashion dresses'}
{0 '4',1 'elasticwaistshort'}
{0 '4',1 'cottontee'}
{0 '4',1 'cottonlinendre'}
{0 '4',1 'comfy'}
{0 '4',1 'casualjumpsuit'}
{0 '4',1 'candy'}
{0 '4',1 'camping'}
{0 '4',1 'cami top'}
{0 '4',1 'brazilian'}
{0 '4',1 'bra top'}
{0 '4',1 'bodycon jumpsuits'}
{0 '4',1 'bodybuildingshort'}
{0 '4',1 'blousetop'}
{0 '4',1 'beetshirt'}
{0 '4',1 'beachtshirt'}
{0 '4',1 'beachdresse'}
{0 '4',1 'bathing suit cover ups'}
{0 '4',1 'bandage top'}
{0 '4',1 'backless top'}
{0 '4',1 'Workout'}
{0 '4',1 'Womens Swimsuit'}
{0 '4',1 'Women\'s Casual Tops'}
{0 '4',1 'Waterproof'}
{0 '4',1 'Vintage Dresses'}
{0 '4',1 'Two-Piece Suits'}
{0 '4',1 'Triangles'}
{0 '4',1 'Swimming suit'}
{0 '4',1 'Sweatshirts'}
{0 '4',1 'Simple'}
{0 '4',1 'Sexy Swimwear'}
{0 '4',1 'Puma'}
{0 '4',1 'Printing t shirt'}
{0 '4',1 'Princess'}
{0 '4',1 'One-Piece Suits'}
{0 '4',1 'Music'}
{0 '4',1 'Men\'s Shirt'}
{0 '4',1 'Men Tops'}
{0 '4',1 'Masks'}
{0 '4',1 'Large Size'}
{0 '4',1 'Lace Bikini'}
{0 '4',1 'Kawaii'}
{0 '4',1 'Invisible'}
{0 '4',1 'Indoor'}
{0 '4',1 'Head Bands'}
{0 '4',1 'Graphic T-Shirt'}
{0 '4',1 'Goth'}
{0 '4',1 'Food'}
{0 '4',1 'Crystal'}
{0 '4',1 'Cocktail Dress'}
{0 '4',1 'Cargo pants'}
{0 '4',1 'Buckles'}
{0 '4',1 'Bikinis For Women'}
{0 '4',1 'Ankle'}
{0 '4',1 'American'}
{0 '4',1 '3D T-shirt'}
{0 '4',1 '34pant'}
{0 '3',1 'woven'}
{0 '3',1 'womenshortspant'}
{0 '3',1 'womenshortsleevedre'}
{0 '3',1 'womens sexy tops'}
{0 '3',1 'women\'s jogging suits'}
{0 '3',1 'women summer dress'}
{0 '3',1 'women sexy dress'}
{0 '3',1 'women casual dress'}
{0 '3',1 'woman shirt summer'}
{0 '3',1 'vogue'}
{0 '3',1 'vintageshirt'}
{0 '3',1 'vesttank'}
{0 '3',1 'twopiecesoutfit'}
{0 '3',1 'two piece bathing suit'}
{0 '3',1 'tshirtforwomen'}
{0 '3',1 'tshirtandtop'}
{0 '3',1 'trending'}
{0 '3',1 'topsandtop'}
{0 '3',1 'tiktok'}
{0 '3',1 'tacticalpant'}
{0 '3',1 'sweetheart'}
{0 '3',1 'summerset'}
{0 '3',1 'summercroptop'}
{0 '3',1 'summercardigan'}
{0 '3',1 'strapless crop top'}
{0 '3',1 'strapdre'}
{0 '3',1 'sportsshort'}
{0 '3',1 'sportsamprecreation'}
{0 '3',1 'spaghettistrapdres'}
{0 '3',1 'spaghettishoulderstrapdres'}
{0 '3',1 'spaghetti strap top'}
{0 '3',1 'sommerkleid'}
{0 '3',1 'solidcolorshirt'}
{0 '3',1 'soildcolor'}
{0 '3',1 'slimtop'}
{0 '3',1 'slim shirts'}
{0 '3',1 'sleeveless crop top'}
{0 '3',1 'sleeve lace'}
{0 '3',1 'skeletonprinted'}
{0 '3',1 'shortsleevetop'}
{0 '3',1 'shirtsforwomen'}
{0 '3',1 'shirt women'}
{0 '3',1 'sexyshort'}
{0 '3',1 'sexy swimsuit'}
{0 '3',1 'sexy bra'}
{0 '3',1 'quickdry'}
{0 '3',1 'printedtop'}
{0 '3',1 'pocketdres'}
{0 '3',1 'plus size bathing suits'}
{0 '3',1 'pink'}
{0 '3',1 'pantsformen'}
{0 '3',1 'package hip dress'}
{0 '3',1 'overallsforwomen'}
{0 '3',1 'outdoorsuit'}
{0 '3',1 'openfront'}
{0 '3',1 'onecktshirt'}
{0 '3',1 'one-shoulder'}
{0 '3',1 'off the shoulder top'}
{0 '3',1 'night dress'}
{0 '3',1 'mensummertshirt'}
{0 '3',1 'mens Trousers'}
{0 '3',1 'maxi skirt'}
{0 '3',1 'low cut'}
{0 '3',1 'lovely'}
{0 '3',1 'loosedresse'}
{0 '3',1 'longcardigan'}
{0 '3',1 'long sleeve t shirt'}
{0 '3',1 'long sleeve shirt'}
{0 '3',1 'lipprint'}
{0 '3',1 'leopard print'}
{0 '3',1 'legs'}
{0 '3',1 'lace bralette top'}
{0 '3',1 'lace blouse'}
{0 '3',1 'knitted'}
{0 '3',1 'joggingpant'}
{0 '3',1 'jogging suit'}
{0 '3',1 'jeansforwomen'}
{0 '3',1 'highwaistdres'}
{0 '3',1 'halter top'}
{0 '3',1 'gothicshirt'}
{0 '3',1 'funnytop'}
{0 '3',1 'flowerprint'}
{0 '3',1 'flat shoe'}
{0 '3',1 'femmerobe'}
{0 '3',1 'femalevest'}
{0 '3',1 'fashion bikini'}
{0 '3',1 'evening party dress'}
{0 '3',1 'decoration'}
{0 '3',1 'damenkleid'}
{0 '3',1 'cuteshirt'}
{0 '3',1 'cropped top'}
{0 '3',1 'cottonlinenshirt'}
{0 '3',1 'cool'}
{0 '3',1 'coldshoulder'}
{0 '3',1 'casualvest'}
{0 '3',1 'casual shoes'}
{0 '3',1 'bodycon top'}
{0 '3',1 'blusasfeminina'}
{0 '3',1 'black dress'}
{0 '3',1 'bermudashort'}
{0 '3',1 'beachwearbikini'}
{0 '3',1 'beachvest'}
{0 '3',1 'art'}
{0 '3',1 'animalprotectiontshirt'}
{0 '3',1 'Wedge Sandals'}
{0 '3',1 'Trousers & Shorts'}
{0 '3',1 'Tank&Sleeveless'}
{0 '3',1 'Swimsuit Cover'}
{0 '3',1 'Swimdresses'}
{0 '3',1 'Sport Tops'}
{0 '3',1 'Splicing'}
{0 '3',1 'Slim T-shirt'}
{0 '3',1 'Slim  Fitting'}
{0 '3',1 'Sexy Tshirt'}
{0 '3',1 'Set'}
{0 '3',1 'Sandals & Flip Flops'}
{0 '3',1 'Print Dresses'}
{0 '3',1 'Polos'}
{0 '3',1 'Plus Size Fashions'}
{0 '3',1 'Off shoulder shirt'}
{0 '3',1 'Nylon'}
{0 '3',1 'New arrival'}
{0 '3',1 'Moon'}
{0 '3',1 'Men T-shirt'}
{0 '3',1 'Korean'}
{0 '3',1 'Jacket'}
{0 '3',1 'High Heel'}
{0 '3',1 'Heart'}
{0 '3',1 'Hats'}
{0 '3',1 'Hair Band'}
{0 '3',1 'Hair Accessories'}
{0 '3',1 'Grey'}
{0 '3',1 'Graffiti'}
{0 '3',1 'Girls Dresses'}
{0 '3',1 'Get'}
{0 '3',1 'Game'}
{0 '3',1 'Flats'}
{0 '3',1 'Fashion tank top'}
{0 '3',1 'Fashion Men'}
{0 '3',1 'Dinosaur'}
{0 '3',1 'Crewneck'}
{0 '3',1 'Club Dress'}
{0 '3',1 'Children\'s Toys'}
{0 '3',1 'Causal Dress'}
{0 '3',1 'Body Shapers'}
{0 '3',1 'BikiniWomen'}
{0 '3',1 'Bat'}
{0 '3',1 'Bandages'}
{0 '3',1 'Accessories'}
{0 '3',1 'Above Knee dresses'}
{0 '3',1 'A line dress'}
{0 '3',1 '#fashion #tshirt'}
{0 '2',1 'yogavest'}
{0 '2',1 'yogasuit'}
